"30/1","詠漢高祖","王珪","全唐詩",30,"1","0618-01-04T16:40:00Z","p. 0","fla"
"30/2","詠淮陰侯","王珪","全唐詩",30,"2","0618-01-08T09:20:00Z","p. 1","fla"
"30/3","早春桂林殿應詔","陳叔達","全唐詩",30,"3","0618-01-12T02:00:00Z","p. 2","fla"
"30/4","後渚置酒","陳叔達","全唐詩",30,"4","0618-01-15T18:40:00Z","p. 3","fla"
"30/5","聽鄰人琵琶","陳叔達","全唐詩",30,"5","0618-01-19T11:20:00Z","p. 4","fla"
"30/6","州城西園入齋祠社","陳叔達","全唐詩",30,"6","0618-01-23T04:00:00Z","p. 5","fla"
"30/7","春首","陳叔達","全唐詩",30,"7","0618-01-26T20:40:00Z","p. 6","fla"
"30/8","初年","陳叔達","全唐詩",30,"8","0618-01-30T13:20:00Z","p. 7","fla"
"30/9","詠菊","陳叔達","全唐詩",30,"9","0618-02-03T06:00:00Z","p. 8","fla"
"30/10","自君之出矣（一作賈馮吉詩）","陳叔達","全唐詩",30,"10","0618-02-06T22:40:00Z","p. 9","fla"
"30/11","賦飲馬長城窟","袁朗","全唐詩",30,"11","0618-02-10T15:20:00Z","p. 10","fla"
"30/12","和洗掾登城南阪望京邑","袁朗","全唐詩",30,"12","0618-02-14T08:00:00Z","p. 11","fla"
"30/13","秋日應詔","袁朗","全唐詩",30,"13","0618-02-18T00:40:00Z","p. 12","fla"
"30/14","秋夜獨坐（一作邢邵詩）","袁朗","全唐詩",30,"14","0618-02-21T17:20:00Z","p. 13","fla"
"30/15","出塞曲","竇威","全唐詩",30,"15","0618-02-25T10:00:00Z","p. 14","fla"
"30/16","新曲二首","長孫無忌","全唐詩",30,"16","0618-03-01T02:40:00Z","p. 15","fla"
"30/17","灞橋待李將軍","長孫無忌","全唐詩",30,"17","0618-03-04T19:20:00Z","p. 16","fla"
"30/18","奉和正日臨朝","顏師古","全唐詩",30,"18","0618-03-08T12:00:00Z","p. 17","fla"
"30/19","召拜御史大夫贈袁天綱","杜淹","全唐詩",30,"19","0618-03-12T04:40:00Z","p. 18","fla"
"30/20","詠寒食鬥雞應秦王教","杜淹","全唐詩",30,"20","0618-03-15T21:20:00Z","p. 19","fla"
"30/21","寄贈齊公","杜淹","全唐詩",30,"21","0618-03-19T14:00:00Z","p. 20","fla"
"31/1","五郊樂章。黃帝宮音","魏征","全唐詩",31,"1","0618-03-23T06:40:00Z","p. 21","fla"
"31/2","五郊樂章。肅和","魏征","全唐詩",31,"2","0618-03-26T23:20:00Z","p. 22","fla"
"31/3","五郊樂章。雍和","魏征","全唐詩",31,"3","0618-03-30T16:00:00Z","p. 23","fla"
"31/4","五郊樂章。舒和","魏征","全唐詩",31,"4","0618-04-03T08:40:00Z","p. 24","fla"
"31/5","五郊樂章。青帝角音","魏征","全唐詩",31,"5","0618-04-07T01:20:00Z","p. 25","fla"
"31/6","五郊樂章。肅和","魏征","全唐詩",31,"6","0618-04-10T18:00:00Z","p. 26","fla"
"31/7","五郊樂章。雍和","魏征","全唐詩",31,"7","0618-04-14T10:40:00Z","p. 27","fla"
"31/8","五郊樂章。舒和","魏征","全唐詩",31,"8","0618-04-18T03:20:00Z","p. 28","fla"
"31/9","五郊樂章。赤帝征音","魏征","全唐詩",31,"9","0618-04-21T20:00:00Z","p. 29","fla"
"31/10","五郊樂章。肅和","魏征","全唐詩",31,"10","0618-04-25T12:40:00Z","p. 30","fla"
"31/11","五郊樂章。雍和","魏征","全唐詩",31,"11","0618-04-29T05:20:00Z","p. 31","fla"
"31/13","五郊樂章。舒和","魏征","全唐詩",31,"13","0618-05-02T22:00:00Z","p. 32","fla"
"31/14","五郊樂章。白帝商音","魏征","全唐詩",31,"14","0618-05-06T14:40:00Z","p. 33","fla"
"31/15","五郊樂章。肅和","魏征","全唐詩",31,"15","0618-05-10T07:20:00Z","p. 34","fla"
"31/16","五郊樂章。雍和","魏征","全唐詩",31,"16","0618-05-14T00:00:00Z","p. 35","fla"
"31/17","五郊樂章。舒和","魏征","全唐詩",31,"17","0618-05-17T16:40:00Z","p. 36","fla"
"31/18","五郊樂章。黑帝羽音","魏征","全唐詩",31,"18","0618-05-21T09:20:00Z","p. 37","fla"
"31/19","五郊樂章。肅和","魏征","全唐詩",31,"19","0618-05-25T02:00:00Z","p. 38","fla"
"31/20","五郊樂章。雍和","魏征","全唐詩",31,"20","0618-05-28T18:40:00Z","p. 39","fla"
"31/21","五郊樂章。舒和","魏征","全唐詩",31,"21","0618-06-01T11:20:00Z","p. 40","fla"
"31/22","享太廟樂章。永和","魏征","全唐詩",31,"22","0618-06-05T04:00:00Z","p. 41","fla"
"31/23","享太廟樂章。肅和","魏征","全唐詩",31,"23","0618-06-08T20:40:00Z","p. 42","fla"
"31/24","享太廟樂章。雍和","魏征","全唐詩",31,"24","0618-06-12T13:20:00Z","p. 43","fla"
"31/25","享太廟樂章。長髮舞","魏征","全唐詩",31,"25","0618-06-16T06:00:00Z","p. 44","fla"
"31/26","享太廟樂章。大基舞","魏征","全唐詩",31,"26","0618-06-19T22:40:00Z","p. 45","fla"
"31/27","享太廟樂章。大成舞","魏征","全唐詩",31,"27","0618-06-23T15:20:00Z","p. 46","fla"
"31/28","享太廟樂章。大明舞","魏征","全唐詩",31,"28","0618-06-27T08:00:00Z","p. 47","fla"
"31/29","享太廟樂章。壽和","魏征","全唐詩",31,"29","0618-07-01T00:40:00Z","p. 48","fla"
"31/30","享太廟樂章。舒和","魏征","全唐詩",31,"30","0618-07-04T17:20:00Z","p. 49","fla"
"31/31","享太廟樂章。雍和","魏征","全唐詩",31,"31","0618-07-08T10:00:00Z","p. 50","fla"
"31/32","享太廟樂章。永和","魏征","全唐詩",31,"32","0618-07-12T02:40:00Z","p. 51","fla"
"31/33","賦西漢","魏征","全唐詩",31,"33","0618-07-15T19:20:00Z","p. 52","fla"
"31/34","暮秋言懷","魏征","全唐詩",31,"34","0618-07-19T12:00:00Z","p. 53","fla"
"31/35","述懷（出關）","魏征","全唐詩",31,"35","0618-07-23T04:40:00Z","p. 54","fla"
"31/36","奉和正日臨朝應詔","魏征","全唐詩",31,"36","0618-07-26T21:20:00Z","p. 55","fla"
"32/1","祈谷樂章。肅和","褚亮","全唐詩",32,"1","0618-07-30T14:00:00Z","p. 56","fla"
