topic,alpha,word,weight
1,0.3333333333333333,向,974
1,0.3333333333333333,處,941
1,0.3333333333333333,年,875
1,0.3333333333333333,知,777
1,0.3333333333333333,是,763
1,0.3333333333333333,更,755
1,0.3333333333333333,不,730
1,0.3333333333333333,來,689
1,0.3333333333333333,到,590
1,0.3333333333333333,邊,584
1,0.3333333333333333,曾,573
1,0.3333333333333333,堪,565
1,0.3333333333333333,幾,506
1,0.3333333333333333,何,497
1,0.3333333333333333,自,448
1,0.3333333333333333,只,420
1,0.3333333333333333,又,409
1,0.3333333333333333,裏,369
1,0.3333333333333333,那,356
1,0.3333333333333333,看,348
2,0.3333333333333333,時,2291
2,0.3333333333333333,遲,1693
2,0.3333333333333333,期,1433
2,0.3333333333333333,知,730
2,0.3333333333333333,日,599
2,0.3333333333333333,悲,462
2,0.3333333333333333,枝,407
2,0.3333333333333333,相,402
2,0.3333333333333333,未,362
2,0.3333333333333333,隨,358
2,0.3333333333333333,後,335
2,0.3333333333333333,早,334
2,0.3333333333333333,詩,333
2,0.3333333333333333,有,318
2,0.3333333333333333,絲,306
2,0.3333333333333333,師,269
2,0.3333333333333333,還,240
2,0.3333333333333333,垂,233
2,0.3333333333333333,欲,214
2,0.3333333333333333,移,213
3,0.3333333333333333,秋,1580
3,0.3333333333333333,聲,1387
3,0.3333333333333333,寒,802
3,0.3333333333333333,蟬,732
3,0.3333333333333333,色,689
3,0.3333333333333333,夜,560
3,0.3333333333333333,雨,499
3,0.3333333333333333,月,477
3,0.3333333333333333,風,463
3,0.3333333333333333,鳴,462
3,0.3333333333333333,晚,459
3,0.3333333333333333,暮,426
3,0.3333333333333333,樹,415
3,0.3333333333333333,獨,398
3,0.3333333333333333,孤,345
3,0.3333333333333333,愁,336
3,0.3333333333333333,滿,318
3,0.3333333333333333,城,304
3,0.3333333333333333,早,279
3,0.3333333333333333,起,261
4,0.3333333333333333,歌,2379
4,0.3333333333333333,多,1777
4,0.3333333333333333,過,818
4,0.3333333333333333,和,724
4,0.3333333333333333,曲,682
4,0.3333333333333333,舞,514
4,0.3333333333333333,波,483
4,0.3333333333333333,唱,462
4,0.3333333333333333,風,439
4,0.3333333333333333,少,403
4,0.3333333333333333,奈,374
4,0.3333333333333333,聽,349
4,0.3333333333333333,樂,344
4,0.3333333333333333,醉,327
4,0.3333333333333333,笙,319
4,0.3333333333333333,人,268
4,0.3333333333333333,意,267
4,0.3333333333333333,河,241
4,0.3333333333333333,長,227
4,0.3333333333333333,夜,207
5,0.3333333333333333,海,2138
5,0.3333333333333333,滄,994
5,0.3333333333333333,天,712
5,0.3333333333333333,波,618
5,0.3333333333333333,江,606
5,0.3333333333333333,浪,564
5,0.3333333333333333,風,545
5,0.3333333333333333,東,520
5,0.3333333333333333,雲,464
5,0.3333333333333333,洲,454
5,0.3333333333333333,流,415
5,0.3333333333333333,水,397
5,0.3333333333333333,越,347
5,0.3333333333333333,溟,331
5,0.3333333333333333,濤,313
5,0.3333333333333333,遊,306
5,0.3333333333333333,浮,272
5,0.3333333333333333,浩,269
5,0.3333333333333333,吳,262
5,0.3333333333333333,潮,256
6,0.3333333333333333,山,2061
6,0.3333333333333333,林,858
6,0.3333333333333333,雲,852
6,0.3333333333333333,溪,797
6,0.3333333333333333,水,784
6,0.3333333333333333,深,714
6,0.3333333333333333,野,670
6,0.3333333333333333,石,556
6,0.3333333333333333,入,529
6,0.3333333333333333,路,489
6,0.3333333333333333,客,439
6,0.3333333333333333,遠,439
6,0.3333333333333333,鳥,431
6,0.3333333333333333,谷,431
6,0.3333333333333333,泉,411
6,0.3333333333333333,隱,408
6,0.3333333333333333,煙,362
6,0.3333333333333333,近,342
6,0.3333333333333333,裏,325
6,0.3333333333333333,樹,306
7,0.3333333333333333,長,977
7,0.3333333333333333,朝,956
7,0.3333333333333333,日,879
7,0.3333333333333333,城,753
7,0.3333333333333333,門,652
7,0.3333333333333333,出,638
7,0.3333333333333333,九,454
7,0.3333333333333333,初,397
7,0.3333333333333333,樓,396
7,0.3333333333333333,陌,387
7,0.3333333333333333,入,368
7,0.3333333333333333,春,362
7,0.3333333333333333,道,353
7,0.3333333333333333,遊,332
7,0.3333333333333333,明,325
7,0.3333333333333333,早,322
7,0.3333333333333333,下,311
7,0.3333333333333333,安,287
7,0.3333333333333333,新,271
7,0.3333333333333333,御,260
8,0.3333333333333333,不,1862
8,0.3333333333333333,可,1750
8,0.3333333333333333,誰,1545
8,0.3333333333333333,憐,1257
8,0.3333333333333333,知,1022
8,0.3333333333333333,能,947
8,0.3333333333333333,自,716
8,0.3333333333333333,相,688
8,0.3333333333333333,見,632
8,0.3333333333333333,人,570
8,0.3333333333333333,解,373
8,0.3333333333333333,那,302
8,0.3333333333333333,惜,274
8,0.3333333333333333,獨,266
8,0.3333333333333333,堪,259
8,0.3333333333333333,得,252
8,0.3333333333333333,未,243
8,0.3333333333333333,成,243
8,0.3333333333333333,肯,230
8,0.3333333333333333,識,222
9,0.3333333333333333,歸,2708
9,0.3333333333333333,飛,1903
9,0.3333333333333333,衣,1892
9,0.3333333333333333,微,1473
9,0.3333333333333333,稀,1202
9,0.3333333333333333,依,966
9,0.3333333333333333,扉,488
9,0.3333333333333333,暉,427
9,0.3333333333333333,掩,409
9,0.3333333333333333,輝,389
9,0.3333333333333333,違,379
9,0.3333333333333333,機,363
9,0.3333333333333333,霏,347
9,0.3333333333333333,去,255
9,0.3333333333333333,鳥,225
9,0.3333333333333333,冉,189
9,0.3333333333333333,非,162
9,0.3333333333333333,落,157
9,0.3333333333333333,薇,155
9,0.3333333333333333,肥,155
10,0.3333333333333333,幽,668
10,0.3333333333333333,清,636
10,0.3333333333333333,景,582
10,0.3333333333333333,遊,490
10,0.3333333333333333,賞,469
10,0.3333333333333333,懷,439
10,0.3333333333333333,方,438
10,0.3333333333333333,林,403
10,0.3333333333333333,情,339
10,0.3333333333333333,物,312
10,0.3333333333333333,意,280
10,0.3333333333333333,茲,277
10,0.3333333333333333,心,273
10,0.3333333333333333,此,261
10,0.3333333333333333,佳,257
10,0.3333333333333333,永,244
10,0.3333333333333333,謝,241
10,0.3333333333333333,芳,232
10,0.3333333333333333,始,222
10,0.3333333333333333,趣,220
11,0.3333333333333333,不,1655
11,0.3333333333333333,人,1089
11,0.3333333333333333,有,871
11,0.3333333333333333,無,820
11,0.3333333333333333,知,817
11,0.3333333333333333,言,777
11,0.3333333333333333,語,695
11,0.3333333333333333,自,683
11,0.3333333333333333,心,670
11,0.3333333333333333,聞,621
11,0.3333333333333333,為,565
11,0.3333333333333333,此,554
11,0.3333333333333333,得,512
11,0.3333333333333333,中,462
11,0.3333333333333333,在,434
11,0.3333333333333333,常,424
11,0.3333333333333333,見,371
11,0.3333333333333333,終,363
11,0.3333333333333333,誰,356
11,0.3333333333333333,意,334
12,0.3333333333333333,蒼,2092
12,0.3333333333333333,天,1094
12,0.3333333333333333,茫,903
12,0.3333333333333333,長,705
12,0.3333333333333333,雲,688
12,0.3333333333333333,杳,595
12,0.3333333333333333,白,565
12,0.3333333333333333,萬,416
12,0.3333333333333333,黃,391
12,0.3333333333333333,山,390
12,0.3333333333333333,下,388
12,0.3333333333333333,冥,366
12,0.3333333333333333,可,366
12,0.3333333333333333,望,356
12,0.3333333333333333,行,347
12,0.3333333333333333,飛,308
12,0.3333333333333333,陽,288
12,0.3333333333333333,光,273
12,0.3333333333333333,海,257
12,0.3333333333333333,古,252
13,0.3333333333333333,為,367
13,0.3333333333333333,所,362
13,0.3333333333333333,非,346
13,0.3333333333333333,言,285
13,0.3333333333333333,誠,242
13,0.3333333333333333,民,214
13,0.3333333333333333,命,212
13,0.3333333333333333,者,209
13,0.3333333333333333,善,205
13,0.3333333333333333,以,194
13,0.3333333333333333,豈,192
13,0.3333333333333333,憂,191
13,0.3333333333333333,其,189
13,0.3333333333333333,棄,185
13,0.3333333333333333,易,177
13,0.3333333333333333,實,171
13,0.3333333333333333,力,171
13,0.3333333333333333,勿,169
13,0.3333333333333333,直,169
13,0.3333333333333333,禍,166
14,0.3333333333333333,人,1103
14,0.3333333333333333,家,1076
14,0.3333333333333333,門,765
14,0.3333333333333333,行,745
14,0.3333333333333333,路,739
14,0.3333333333333333,客,698
14,0.3333333333333333,到,697
14,0.3333333333333333,山,685
14,0.3333333333333333,處,678
14,0.3333333333333333,去,615
14,0.3333333333333333,中,500
14,0.3333333333333333,住,460
14,0.3333333333333333,前,459
14,0.3333333333333333,出,402
14,0.3333333333333333,入,398
14,0.3333333333333333,無,336
14,0.3333333333333333,盡,336
14,0.3333333333333333,誰,324
14,0.3333333333333333,水,315
14,0.3333333333333333,數,303
15,0.3333333333333333,無,1009
15,0.3333333333333333,心,900
15,0.3333333333333333,非,807
15,0.3333333333333333,忘,759
15,0.3333333333333333,是,741
15,0.3333333333333333,自,686
15,0.3333333333333333,事,638
15,0.3333333333333333,情,535
15,0.3333333333333333,與,430
15,0.3333333333333333,物,425
15,0.3333333333333333,閒,399
15,0.3333333333333333,外,396
15,0.3333333333333333,有,384
15,0.3333333333333333,因,375
15,0.3333333333333333,偶,336
15,0.3333333333333333,性,332
15,0.3333333333333333,常,307
15,0.3333333333333333,世,305
15,0.3333333333333333,道,296
15,0.3333333333333333,機,287
16,0.3333333333333333,飛,1459
16,0.3333333333333333,鳥,780
16,0.3333333333333333,燕,545
16,0.3333333333333333,羽,543
16,0.3333333333333333,巢,525
16,0.3333333333333333,鳴,487
16,0.3333333333333333,烏,451
16,0.3333333333333333,翩,425
16,0.3333333333333333,棲,403
16,0.3333333333333333,雀,382
16,0.3333333333333333,翼,367
16,0.3333333333333333,雙,367
16,0.3333333333333333,銜,296
